Type,Size,Cores,Time_mean,Time_std,Points,Speedup,Efficiency,Ideal_Speedup,Serial_Fraction
strong,big,1,773.8218208000001,1.5216938800036826,60000000000,1.0,1.0,1.0,
strong,big,2,387.03712459999997,0.21227848733752414,60000000000,1.9993477927982728,0.9996738963991364,2.0,0.0003262099791123685
strong,big,3,259.1152914,1.3122965969554476,60000000000,2.9863996702743423,0.9954665567581141,3.0,0.0022770444728197887
strong,big,4,193.7616268,0.5017904025434344,60000000000,3.993679417229171,0.9984198543072927,4.0,0.0005275488349216021
strong,big,5,155.52832560000002,1.001361272206137,60000000000,4.975439797314966,0.9950879594629931,5.0,0.0012340719456744448
strong,big,6,129.85134060000001,1.6190958501514947,60000000000,5.959290194652022,0.9932150324420036,6.0,0.001366263565567327
strong,big,7,111.6829918,1.8801456187685857,60000000000,6.928734701034398,0.989819243004914,7.0,0.0017142451457734795
strong,big,8,97.88272040000001,2.2611289248499915,60000000000,7.90560190437862,0.9882002380473275,8.0,0.0017058084121535089
strong,big,9,87.2038236,2.294382598382363,60000000000,8.873714349378599,0.9859682610420665,9.0,0.0017789288347760095
strong,big,10,78.08042040000001,1.3585227525937145,60000000000,9.910574467142597,0.9910574467142597,10.0,0.0010025826807952892
strong,big,11,71.7705022,1.797005995246455,60000000000,10.781892240960245,0.9801720219054768,11.0,0.0020229079846593753
strong,big,12,65.395275,1.0786516853648824,60000000000,11.832992839314462,0.9860827366095385,12.0,0.0012830624812674417
strong,medium,1,7.0873078,0.05102665712840715,550000000,1.0,1.0,1.0,
strong,medium,2,3.597931,0.07010488196623677,550000000,1.9698287154478504,0.9849143577239252,2.0,0.015316704602557296
strong,medium,3,2.3686142,0.005054954668441804,550000000,2.992174833706561,0.9973916112355203,3.0,0.0013076051247556395
strong,medium,4,1.781364,0.00676073342914797,550000000,3.9785848372370833,0.9946462093092708,4.0,0.0017942026825287598
strong,medium,5,1.4284046,0.007456486860445768,550000000,4.961694886728872,0.9923389773457745,5.0,0.0019300417571817621
strong,medium,6,1.1926028,0.01799515347808959,550000000,5.942722757317021,0.9904537928861702,6.0,0.0019276431030693984
strong,medium,7,1.017671,0.004589252607996218,550000000,6.964242667817006,0.9948918096881437,7.0,0.0008557363159346261
strong,medium,8,0.9145327999999999,0.04929083249144819,550000000,7.749648563725653,0.9687060704657067,8.0,0.004614982292712051
strong,medium,9,0.794984,0.007641341799710293,550000000,8.915032000644038,0.9905591111826708,9.0,0.001191358586119266
strong,medium,10,0.7131494,0.0023510910871337738,550000000,9.938040752751105,0.9938040752751105,10.0,0.0006927281721527369
strong,medium,11,0.6474242,0.0014856909840205606,550000000,10.946930621376216,0.9951755110342014,11.0,0.00048478774972917363
strong,medium,12,0.5936536,0.000621307331358656,550000000,11.938456702696657,0.9948713918913881,12.0,0.000468640574634002
strong,small,1,0.0645316,0.00023333409523684705,5000000,1.0,1.0,1.0,
strong,small,2,0.0322738,6.69156185056943e-05,5000000,1.9995042418308349,0.9997521209154174,2.0,0.00024794054385757214
strong,small,3,0.0215438,4.718262392025123e-05,5000000,2.9953675767506196,0.9984558589168732,3.0,0.0007732645711558682
strong,small,4,0.016219400000000002,8.103579456018091e-05,5000000,3.978667521609923,0.9946668804024807,4.0,0.0017872380869734528
strong,small,5,0.013009999999999999,7.154718722633343e-05,5000000,4.960153727901614,0.9920307455803228,5.0,0.002008318405246415
strong,small,6,0.0108594,2.9921564130238597e-05,5000000,5.9424645928872675,0.9904107654812112,6.0,0.001936415647527756
strong,small,7,0.00936,5.6213877290221234e-05,5000000,6.894401709401708,0.9849145299145298,7.0,0.0025527545161337416
strong,small,8,0.0086262,0.0010251715466203695,5000000,7.4808838190628535,0.9351104773828567,8.0,0.009913194244591614
strong,small,9,0.0072835999999999994,4.528575935103694e-05,5000000,8.859849524960184,0.9844277249955761,9.0,0.001977325837264232
strong,small,10,0.006555,2.1575449010391442e-05,5000000,9.84463768115942,0.9844637681159419,10.0,0.0017534906240594672
strong,small,11,0.006239,0.0006121915549891228,5000000,10.343260137842602,0.9402963761675093,11.0,0.0063494474025128774
strong,small,12,0.0057796,0.000701186351835231,5000000,11.165409370890718,0.9304507809075598,12.0,0.006795261405405918
weak,big,1,64.5600784,0.15398407680925869,5000000000,1.0,1.0,1.0,
weak,big,2,64.682463,0.3082194702902444,10000000000,0.9981079168243794,0.9981079168243794,1.0,1.0037913398816443
weak,big,3,64.54489459999999,0.1135685220155629,15000000000,1.0002352440126225,1.0002352440126225,1.0,0.9996472169711613
weak,big,4,64.66039,0.2578670796389106,20000000000,0.9984486391127549,0.9984486391127549,1.0,1.002071695129788
weak,big,5,64.7706412,0.39729512036545206,25000000000,0.9967491011961758,0.9967491011961758,1.0,1.004076877019406
weak,big,6,65.01810520000001,0.9570344328751706,30000000000,0.9929553960609727,0.9929553960609727,1.0,1.0085134989551068
weak,big,7,64.9625466,0.829451383174928,35000000000,0.9938046117176077,0.9938046117176077,1.0,1.0072730121302538
weak,big,8,65.4171468,1.7099817775060369,40000000000,0.9868984136128663,0.9868984136128663,1.0,1.0151720191042573
weak,big,9,65.1599058,1.189323975752696,45000000000,0.9907945324254902,0.9907945324254902,1.0,1.0104523699741976
weak,big,10,64.77994720000001,0.12756654485679259,50000000000,0.9966059126395828,0.9966059126395828,1.0,1.00378405157988
weak,big,11,64.828475,0.39497256935450736,55000000000,0.9958598964421113,0.9958598964421113,1.0,1.004573046801009
weak,big,12,65.542904,0.9389695417938185,60000000000,0.9850048511735153,0.9850048511735153,1.0,1.0166073742224293
weak,medium,1,0.5800685999999999,0.0008875628428455071,45000000,1.0,1.0,1.0,
weak,medium,2,0.5805274,0.0005988508161470702,90000000,0.9992096841596105,0.9992096841596105,1.0,1.001581881867076
weak,medium,3,0.5814992,0.0009626108767305863,135000000,0.997539807449434,0.997539807449434,1.0,1.0036993900376612
weak,medium,4,0.5835438,0.0018695576214709194,180000000,0.9940446629713142,0.9940446629713142,1.0,1.0079880207272038
weak,medium,5,0.5858236,0.006168661710614393,225000000,0.9901762236960067,0.9901762236960067,1.0,1.0124015504373103
weak,medium,6,0.5888502,0.010509076182043808,270000000,0.9850868692920541,0.9850868692920541,1.0,1.0181666789065984
weak,medium,7,0.5838154,0.0025940081534181116,315000000,0.9935822179408079,0.9935822179408079,1.0,1.0075357753663388
weak,medium,8,0.5936346,0.02351759833188761,360000000,0.9771475584475702,0.9771475584475702,1.0,1.0267278732205123
weak,medium,9,0.583877,0.003008249906507108,405000000,0.9934773933551072,0.9934773933551072,1.0,1.0073861091601926
weak,medium,10,0.5834616,0.004069248001781154,450000000,0.9941847072712239,0.9941847072712239,1.0,1.0064992312978156
weak,medium,11,0.5830242,0.0028785100659889863,495000000,0.9949305706349753,0.9949305706349753,1.0,1.0056047853650414
weak,medium,12,0.5972012,0.030455306675520412,540000000,0.9713118459909322,0.9713118459909322,1.0,1.0322205151096082
weak,small,1,0.0053825999999999995,1.2953763931768887e-05,416000,1.0,1.0,1.0,
weak,small,2,0.0053894,2.32228335911013e-05,832000,0.998738263999703,0.998738263999703,1.0,1.0025266599784493
weak,small,3,0.0054058000000000005,1.112205017071943e-05,1248000,0.9957083132931294,0.9957083132931294,1.0,1.0064652770036786
weak,small,4,0.005406,1.5636495771111817e-05,1664000,0.9956714761376247,0.9956714761376247,1.0,1.0057964552446774
weak,small,5,0.0054528,1.886001060445106e-05,2080000,0.9871258802816901,0.9871258802816901,1.0,1.016302530375655
weak,small,6,0.005443,3.811823710509214e-05,2496000,0.9889031783942678,0.9889031783942678,1.0,1.0134656114145582
weak,small,7,0.0054362,2.4671846303023444e-05,2912000,0.9901401714432875,0.9901401714432875,1.0,1.0116176816656142
weak,small,8,0.0054697999999999995,2.6901672810440328e-05,3328000,0.9840579180225968,0.9840579180225968,1.0,1.0185146848840976
weak,small,9,0.0054676,2.0971409108593617e-05,3744000,0.9844538737288754,0.9844538737288754,1.0,1.0177655779734702
weak,small,10,0.0054938,2.7635122579789803e-05,4160000,0.9797590010557354,0.9797590010557354,1.0,1.0229546233336224
weak,small,11,0.0054602,2.9354727046934064e-05,4576000,0.9857880663711951,0.9857880663711951,1.0,1.015858507041207
weak,small,12,0.0057090000000000005,0.0006054704782233399,4992000,0.9428271150814501,0.9428271150814501,1.0,1.0661525521630306
